Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
tcp,1024,0.002943564,347877.60687384405,,
tcp,1024,0.003036363,337245.57966224727,,
tcp,1024,0.002990357,342434.0304518825,,
tcp,1024,0.003052583,335453.61420148116,,
tcp,1024,0.002949109,347223.5173403221,,
tcp,1024,0.0030378,337086.0491144908,,
tcp,1024,0.002967719,345046.1448674891,,
tcp,1024,0.003002752,341020.50385779445,,
tcp,1024,0.003079003,332575.18748763803,,
tcp,1024,0.00410517,249441.5578404792,,
tcp,1024,0.003037034,337171.06887838594,,
tcp,1024,0.003023539,338675.96879021573,,
tcp,1024,0.00246006,416250.01016235375,,
tcp,1024,0.002920616,350610.96700148185,,
tcp,1024,0.003162543,323790.0638821354,,
tcp,1024,0.002966576,345179.0886193376,,
tcp,1024,0.002906059,352367.2437483203,,
tcp,1024,0.002987148,342801.8966586189,,
tcp,1024,0.003169118,323118.2934810253,,
tcp,1024,0.00279454,366428.8219170239,,
tcp,1024,0.002971427,344615.5668640017,,
tcp,1024,0.002927721,349760.10350713064,,
tcp,1024,0.002961668,345751.11052285397,,
tcp,1024,0.002940484,348241.99009414774,,
tcp,1024,0.003000098,341322.1834753398,,
tcp,1024,0.003045853,336194.8196449402,,
tcp,1024,0.003124168,327767.26475656877,,
tcp,1024,0.002597624,394206.39784664754,,
tcp,1024,0.003060485,334587.49185178167,,
tcp,1024,0.002913044,351522.32510047907,,
tcp,1024,0.027733384,36923.00946757886,,
tcp,1024,0.003076859,332806.9307043319,,
tcp,1024,0.002924239,350176.57585443597,,
tcp,16384,0.009438847,1735805.2312957293,,
tcp,16384,0.005800461,2824603.0789621724,,
tcp,16384,0.005896951,2778384.965382958,,
tcp,16384,0.005479031,2990309.782879491,,
tcp,16384,0.005422416,3021531.3616660913,,
tcp,16384,0.004976357,3292368.2927089036,,
tcp,16384,0.004911211,3336040.744329657,,
tcp,16384,0.006010062,2726095.005342707,,
tcp,16384,0.006246623,2622857.1821926823,,
tcp,16384,0.005263784,3112589.7263261564,,
tcp,16384,0.004772387,3433082.857697835,,
tcp,16384,0.005549176,2952510.426773272,,
tcp,16384,0.005863419,2794274.1257276684,,
tcp,16384,0.005383632,3043298.650427815,,
tcp,16384,0.004820736,3398651.1603207476,,
tcp,16384,0.005913081,2770805.947018145,,
tcp,16384,0.006391383,2563451.4470498795,,
tcp,16384,0.005331479,3073068.4674927914,,
tcp,16384,0.005226593,3134738.0597647456,,
tcp,16384,0.005491954,2983273.3486114414,,
tcp,16384,0.004949207,3310429.32736497,,
tcp,16384,0.005507776,2974703.4011550215,,
tcp,16384,0.005661564,2893899.9894728735,,
tcp,16384,0.005866703,2792709.97696662,,
tcp,16384,0.005172385,3167590.966256379,,
tcp,16384,0.0048391,3385753.5492136967,,
tcp,16384,0.005854613,2798477.029993272,,
tcp,16384,0.005253944,3118419.2294398267,,
tcp,16384,0.005979951,2739821.781148374,,
tcp,16384,0.005329781,3074047.507768143,,
tcp,16384,0.004916054,3332754.278126318,,
tcp,16384,0.005042296,3249313.4080188866,,
tcp,16384,0.005216182,3140994.6968874936,,
tcp,16384,0.005352301,3061113.3417197573,,
tcp,16384,0.005407399,3029922.5191261084,,
tcp,16384,0.005216999,3140502.806306844,,
tcp,16384,0.006048751,2708658.365999857,,
tcp,16384,0.005219519,3138986.5617885482,,
tcp,16384,0.005201883,3149628.701760497,,
tcp,16384,0.00575457,2847128.456166143,,
tcp,16384,0.004970807,3296044.284157482,,
tcp,16384,0.005123748,3197659.2135288464,,
tcp,16384,0.005617948,2916367.328426678,,
tcp,16384,0.00556652,2943311.081250045,,
tcp,16384,0.005371228,3050326.6664531836,,
tcp,16384,0.005777855,2835654.4080805075,,
tcp,16384,0.005612732,2919077.5543888435,,
tcp,16384,0.006576963,2491119.381392293,,
tcp,16384,0.005681264,2883865.2806840166,,
tcp,16384,0.005130864,3193224.3770250003,,
tcp,16384,0.004710863,3477919.0139895813,,
tcp,16384,0.005070573,3231193.003236518,,
tcp,16384,0.005072347,3230062.9274771623,,
tcp,16384,0.005827956,2811277.229958497,,
tcp,16384,0.005068181,3232718.0106629976,,
tcp,16384,0.006275771,2610675.24611717,,
tcp,16384,0.007709221,2125247.1553221787,,
tcp,16384,0.005843498,2803800.0526397033,,
tcp,16384,0.005775966,2836581.7942834147,,
tcp,16384,0.004933927,3320681.4774519363,,
tcp,16384,0.005134363,3191048.2371425624,,
tcp,16384,0.007008158,2337846.835074209,,
tcp,16384,0.004888299,3351677.1375891697,,
tcp,16384,0.005184797,3160008.000313224,,
tcp,65536,0.01607463,4076983.4204582004,,
tcp,65536,0.016228365,4038361.2273941333,,
tcp,65536,0.015038796,4357795.663961397,,
tcp,65536,0.017043546,3845209.2070511617,,
tcp,65536,0.01461117,4485335.534389101,,
tcp,65536,0.01453269,4509557.418482057,,
tcp,65536,0.014681551,4463833.555460183,,
tcp,65536,0.014200896,4614920.072648937,,
tcp,65536,0.015241577,4299817.532004726,,
tcp,65536,0.016083536,4074725.8563042358,,
tcp,65536,0.016475417,3977805.2355215047,,
tcp,65536,0.014653755,4472300.78570305,,
tcp,65536,0.014554674,4502745.990738096,,
tcp,65536,0.013706419,4781409.35280032,,
tcp,65536,0.014503627,4518593.866210155,,
tcp,65536,0.015202793,4310786.840286518,,
tcp,65536,0.014263763,4594579.985660166,,
tcp,65536,0.013752866,4765261.291719122,,
tcp,65536,0.015188848,4314744.607359294,,
tcp,65536,0.013932115,4703951.984318246,,
tcp,65536,0.015486791,4231735.289770489,,
tcp,65536,0.013754993,4764524.416697267,,
tcp,65536,0.013496404,4855811.962949539,,
tcp,65536,0.014735034,4447631.406890544,,
tcp,65536,0.014722701,4451357.125299224,,
tcp,65536,0.019649801,3335199.1707193367,,
tcp,65536,0.015302317,4282750.122089354,,
tcp,65536,0.015617673,4196271.749318864,,
tcp,65536,0.013123335,4993852.553485833,,
tcp,65536,0.015063843,4350549.856367993,,
tcp,65536,0.01550404,4227027.278051398,,
tcp,65536,0.014021711,4673894.6480925195,,
tcp,65536,0.01636383,4004930.3861015425,,
tcp,65536,0.013605595,4816841.894823416,,
tcp,65536,0.013314959,4921982.861531906,,
tcp,65536,0.017527333,3739074.279013242,,
tcp,65536,0.014742235,4445458.914472602,,
tcp,65536,0.013972606,4690320.47421934,,
tcp,65536,0.013792994,4751397.702340769,,
tcp,65536,0.016357812,4006403.790433586,,
tcp,65536,0.016518034,3967542.384281325,,
tcp,65536,0.015339463,4272379.026566966,,
tcp,65536,0.015039505,4357590.226540036,,
tcp,65536,0.015319148,4278044.70588051,,
tcp,65536,0.015678246,4180059.4275660682,,
tcp,65536,0.015543513,4216292.674635393,,
tcp,65536,0.01416525,4626533.24155945,,
tcp,65536,0.014544185,4505993.288726732,,
tcp,65536,0.015319262,4278012.870332788,,
tcp,65536,0.014335192,4571686.239012355,,
tcp,65536,0.01658961,3950424.3921345947,,
tcp,65536,0.014446467,4536472.48147246,,
tcp,65536,0.016765188,3909052.4961604965,,
tcp,65536,0.01420489,4613622.491972835,,
tcp,65536,0.015347681,4270091.35777581,,
tcp,65536,0.01292508,5070452.175150947,,
tcp,65536,0.014055069,4662801.726551467,,
tcp,65536,0.016066325,4079090.8935304126,,
tcp,65536,0.014215762,4610094.063195487,,
tcp,65536,0.01565781,4185515.0879976186,,
tcp,65536,0.01316446,4978252.051356455,,
tcp,65536,0.012983167,5047766.85072294,,
tcp,65536,0.014745158,4444577.6708530355,,
tcp,65536,0.01431687,4577536.849884087,,
tcp,262144,0.051019393,5138124.634293473,,
tcp,262144,0.05045686,5195408.513331983,,
tcp,262144,0.05168186,5072263.266066662,,
tcp,262144,0.048184245,5440450.504101496,,
tcp,262144,0.046331671,5657987.168215885,,
tcp,262144,0.046825939,5598264.671211399,,
tcp,262144,0.049327941,5314310.605423405,,
tcp,262144,0.046730322,5609719.530714982,,
tcp,262144,0.05113,5127009.583414825,,
tcp,262144,0.045890744,5712350.185475311,,
