Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
tcp,1,0.002388476,418.67701412951186,,
tcp,1,0.002859355,349.72922214975057,,
tcp,1,0.002383406,419.56762716885,,
tcp,1,0.002957491,338.1244439966174,,
tcp,1,0.001798047,556.158988057598,,
tcp,1,0.002903191,344.4485740001261,,
tcp,1,0.002826449,353.8008292383836,,
tcp,1,0.003056538,327.16753398779923,,
tcp,1,0.002850356,350.8333695861148,,
tcp,1,0.002934843,340.73372919777995,,
tcp,1,0.002046133,488.72678364505146,,
tcp,1,0.002975979,336.0238765125695,,
tcp,1,0.003009368,332.2956846753205,,
tcp,1,0.003052447,327.6060157637463,,
tcp,1,0.00295649,338.2389252119913,,
tcp,1,0.002982399,335.30054161096484,,
tcp,1,0.00274076,364.86230096761483,,
tcp,64,0.002905082,22030.35921189144,,
tcp,64,0.00309278,20693.356785804357,,
tcp,64,0.002957963,21636.511342433965,,
tcp,64,0.002968922,21556.645812857325,,
tcp,64,0.003013362,21238.736003175192,,
tcp,64,0.002982197,21460.688210738594,,
tcp,64,0.003002052,21318.751307439044,,
tcp,64,0.002983207,21453.422441017337,,
tcp,64,0.00301235,21245.871163709395,,
tcp,64,0.003079926,20779.720032234538,,
tcp,64,0.002964379,21589.682021091096,,
tcp,64,0.002608899,24531.421109057883,,
tcp,64,0.002998397,21344.738538625807,,
tcp,64,0.002114398,30268.662758856186,,
tcp,64,0.002920506,21914.01079128069,,
tcp,64,0.002898727,22078.657286457124,,
tcp,64,0.003009623,21265.121910618043,,
tcp,64,0.003719852,17204.985574694907,,
tcp,64,0.004285393,14934.452919487198,,
tcp,64,0.002024236,31616.866808020408,,
tcp,64,0.001962472,32611.930259387143,,
tcp,64,0.002063599,31013.777386013462,,
tcp,64,0.003219086,19881.419757036627,,
tcp,64,0.002883659,22194.025021682522,,
tcp,64,0.002931057,21835.12637249975,,
tcp,64,0.003068633,20856.192317556386,,
tcp,64,0.002923555,21891.156485853695,,
tcp,64,0.004578682,13977.821565245196,,
tcp,64,0.002988971,21412.051170787538,,
tcp,64,0.002981667,21464.502910620133,,
tcp,64,0.003101503,20635.156567638336,,
tcp,64,0.002873841,22269.847218409093,,
tcp,64,0.003006591,21286.56674619195,,
tcp,64,0.002989309,21409.630118532412,,
tcp,64,0.003151992,20304.620062487465,,
tcp,64,0.002964465,21589.055698077056,,
tcp,64,0.002953871,21666.48441993574,,
tcp,64,0.002936241,21796.575962259227,,
tcp,64,0.003053067,20962.527189871693,,
tcp,64,0.002955146,21657.136398675393,,
tcp,64,0.00308119,20771.195544578553,,
tcp,64,0.002944555,21735.032967630083,,
tcp,64,0.002553054,25068.016579359464,,
tcp,64,0.002981161,21468.1461350125,,
tcp,64,0.003077287,20797.54017093628,,
tcp,64,0.003035918,21080.93828621195,,
tcp,64,0.002529304,25303.403624079983,,
tcp,64,0.002611842,24503.77932508934,,
tcp,64,0.003133843,20422.210046897693,,
tcp,64,0.002960181,21620.299569519564,,
tcp,64,0.002640194,24240.642922451912,,
tcp,64,0.00305541,20946.452358275976,,
tcp,64,0.002980804,21470.717296407278,,
tcp,64,0.002834391,22579.806385216438,,
tcp,64,0.003042507,21035.28438882803,,
tcp,64,0.002815175,22733.933059223673,,
tcp,64,0.002990993,21397.575988977573,,
tcp,64,0.00285555,22412.49496594351,,
tcp,64,0.00211419,30271.640675625178,,
tcp,64,0.003020084,21191.463548695996,,
tcp,64,0.002933745,21815.120264371988,,
tcp,64,0.002948415,21706.577941029333,,
tcp,64,0.002999626,21335.993220488155,,
tcp,64,0.002950825,21688.849728465768,,
tcp,1024,0.002728907,375241.8092664939,,
tcp,1024,0.0019888,514883.34674175375,,
tcp,1024,0.002978382,343810.8342046118,,
tcp,1024,0.002464217,415547.81904353393,,
tcp,1024,0.002973735,344348.1009572137,,
tcp,1024,0.002971712,344582.51674455666,,
tcp,1024,0.003108925,329374.30140643474,,
tcp,1024,0.002454122,417257.16977395583,,
tcp,1024,0.002570046,398436.4482192148,,
tcp,1024,0.003016686,339445.3383613674,,
tcp,1024,0.002465812,415279.0237049702,,
tcp,1024,0.002945295,347673.15328345716,,
tcp,1024,0.003017535,339349.83355619735,,
tcp,1024,0.002898179,353325.3122046637,,
tcp,1024,0.003009473,340258.90911797516,,
tcp,1024,0.002937795,348560.7402831035,,
tcp,1024,0.003018017,339295.6368370357,,
tcp,1024,0.003035367,337356.2406127496,,
tcp,1024,0.003334551,307087.8208190548,,
tcp,1024,0.002787221,367391.03214276873,,
tcp,1024,0.003028013,338175.5626544536,,
tcp,1024,0.003167485,323284.87743430515,,
tcp,1024,0.002620265,390800.16715866525,,
tcp,1024,0.002610172,392311.3112852333,,
tcp,1024,0.003049457,335797.4878806292,,
tcp,1024,0.00306198,334424.1307911874,,
tcp,1024,0.002901687,352898.15889859933,,
tcp,1024,0.003057149,334952.5979924433,,
tcp,1024,0.003019422,339137.7555041992,,
tcp,1024,0.003019929,339080.81944972876,,
tcp,1024,0.002968707,344931.31184721156,,
tcp,1024,0.00306612,333972.57772037626,,
tcp,1024,0.002817603,363429.48243595706,,
tcp,1024,0.002970808,344687.3712471489,,
tcp,1024,0.002599697,393892.0574205378,,
tcp,1024,0.002364718,433032.60684783553,,
tcp,1024,0.002982674,343316.0982393651,,
tcp,1024,0.003060185,334620.29256401164,,
