Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
udp,1,0.001201344,832.4010441638698,,
udp,1,0.001166318,857.399096987271,,
udp,1,0.001153857,866.6585200765778,,
udp,1,0.001189186,840.9113460804281,,
udp,1,0.001180385,847.1812162980723,,
udp,1,0.001139045,877.9284400528513,,
udp,1,0.001114095,897.5895233350836,,
udp,1,0.001179737,847.6465517314452,,
udp,1,0.001115529,896.4356820844639,,
udp,1,0.001126603,887.6241231383194,,
udp,1,0.001180097,847.3879689550944,,
udp,1,0.001161046,861.2923174447868,,
udp,1,0.001180087,847.3951496796423,,
udp,1,0.001158974,862.8321256559682,,
udp,1,0.001126278,887.880256917031,,
udp,1,0.001175364,850.8002627271212,,
udp,1,0.001106133,904.0504170836599,,
udp,1,0.001156911,864.3707251465324,,
udp,1,0.001247955,801.3109447055382,,
udp,1,0.001194324,837.293732688952,,
udp,1,0.001256807,795.6671151576973,,
udp,1,0.00120229,831.746084555307,,
udp,1,0.001196802,835.560101002505,,
udp,1,0.001138223,878.5624609588806,,
udp,1,0.001103454,906.2452988525122,,
udp,1,0.001214281,823.5326090089526,,
udp,1,0.001111518,899.6705406480147,,
udp,1,0.001244207,803.7247821303047,,
udp,1,0.001128091,886.4533091745259,,
udp,1,0.00111902,893.6390770495611,,
udp,1,0.001208429,827.5206900860538,,
udp,1,0.001179097,848.1066443218836,,
udp,1,0.001175748,850.5223908524616,,
udp,1,0.00116891,855.4978569778683,,
udp,1,0.001187109,842.3826287223835,,
udp,1,0.001194698,837.0316180323397,,
udp,1,0.001120461,892.4897876856045,,
udp,1,0.001158293,863.3394141206069,,
udp,1,0.001057771,945.3842088694055,,
udp,1,0.001101095,908.1868503625935,,
udp,1,0.001168298,855.9460000787471,,
udp,1,0.001154004,866.5481228834562,,
udp,1,0.001133687,882.0776810530597,,
udp,1,0.001141947,875.6973835037879,,
udp,1,0.001105737,904.3741866284658,,
udp,1,0.001088549,918.6540982537304,,
udp,1,0.001152227,867.8845401123216,,
udp,1,0.001160967,861.3509255646371,,
udp,1,0.001172976,852.5323621284664,,
udp,1,0.001141897,875.7357274780475,,
udp,1,0.001159952,862.1046388126406,,
udp,1,0.001213495,824.0660241698565,,
udp,1,0.001121639,891.5524513680426,,
udp,1,0.001165719,857.8396680503621,,
udp,1,0.001160396,861.7747734394121,,
udp,1,0.001149168,870.1947844005401,,
udp,1,0.001139831,877.3230417491716,,
udp,1,0.001157705,863.7779054249571,,
udp,1,0.001099206,909.7475814360548,,
udp,1,0.001082933,923.4181616037189,,
udp,1,0.00116105,861.2893501571853,,
udp,1,0.001266817,789.3799972687452,,
udp,1,0.00122675,815.1620134501733,,
udp,1,0.001196332,835.8883654370192,,
udp,1,0.00115276,867.4832575731288,,
udp,1,0.001120398,892.5399724026639,,
udp,1,0.001190579,839.9274638642207,,
